query_id,rank,doc_id,content
Q01,11,204966,"Common Framework for a European Life Cycle based Asset Management Approach for transport infrastructure networks: Achieving a well integrated, optimal performing transport infrastructure network in Europe is a key element in the White Paper on Transport’s overall ambition for a single European Transport Area in 2050. As such it complements and supports the pillars on efficient and sustainable transport means and operations. The required integration and enhancement of the European transport infrastructure networks needs a shift towards next levels of governance capabilities that can adequately address the key societal challenges. In the framework of this CSA on a life cycle based asset management approach for transport infrastructure networks, these challenges are related to: An unprecedented call for network capacity and performance An unprecedented call for transparent, coherent and consistent decision making on cost-performance The (mostly public) financing of the transport infrastructure system has met with concrete fiscal limits. Already in many countries in the EU, this has led to a backlog in maintenance and replacement. Unless decisive actions are taken on network construction, maintenance and operations, this trend will result in mounting congestion losses in the economic powerhouses on the short term and to prohibitive obstructions in transport flows across the European transport network on the medium term. This calls for cross asset, cross modal and cross border decision making by the appropriate authorities, implying their close coordination and collaboration. The precondition for this is transpare"
Q01,12,193722,"Mobility Innovations for a New Dawn in Sustainable (European) Transport Systems: The Mind-sets project (MS) will make a major contribution to our understanding of mobility in Europe: • How to better understand mobility (to better influence and change it). • How to predict the likely future attitudes to, and patterns of, mobility. • What forms of mobility policies, products and services will best meet these future mobility needs. The project provides a new approach to understanding mobility as part of the overall changing lifestyles of different population groups across Europe. A multi-disciplinary coordination of intelligence provides a strong platform for the reinterpretation of our understanding of the ‘mobility mind-sets’ of Europeans; based on engagement with other leading experts in the field in Europe. The approach will be validated against key behavioural issues facing mobility decision-makers: increasing automation, door to door seamless smart mobility, sustainable and energy efficient fuels and mobility and social inclusion. This enhanced understanding is developed into decision support guidelines (to be called ‘Mind-sets’) with a ‘Think Tank’ of practising mobility stakeholders (decision-makers, operators, developers and mobility system suppliers) to fine tune the guidelines to directly meet market needs. In turn, this will support decisions, create innovation future mobility policy and assist the design and marketing of new products and services. The project is strongly supported by an active"
Q01,13,194688,"Innovative services and platform for sustainable transport based on ecodriving techniques: Eurocated project main objective consists of taking advantage of the opportunity presented in the market by the necessity of saving costs and reduce emissions in terms of fuel combustion in the operation of all kind of road transport professional fleets. Based on the principle of efficient driving, the solutions, products and services, proposed by this project, will fit a market all around Europe of more than 200 million € per year. Only Spanish market is ranged over 10 million € per year. Thousands of vehicles from public and private fleets will save billions € and tones of emissions, and fleet operators interest is growing as they become aware of the benefits of efficient driving technology supported systems over traditional training courses. Only a medium size city urban bus operator could save 375 thousand € per year and reduce emissions in 750 Tn per year. ADN Mobile Solutions distinguishes by its excellence in R&amp;D activities that have permitted the firm to currently count with the most specialized, competitive and market oriented tech-powered efficient driving solution. After 4 years of developments, and with the support of public and private investors, the product has already achieved a TRL of 7, with operation on course of real trials and pilots in a number of early-adopters of the product: It is worth mentioning bus urban fleets operating in Valencia (Spain) and Oslo (Norway) cities as well as the"
Q01,14,206268,"-in effects. EUCalc will enable to address EU sustainability challenges in a pragmatic way without compromising on scientific rigour. It is meant to become a widely used democratic tool for policy and decision making. It will close - based on sound model components - a gap between actual climate-energy-system models and an increasing demands of decision makers for information at short notice. This will be supported by involving an extended number of decision-makers from policy and business as well as other stakeholders through expert consultations and the co-design of a Transition Pathways Explorer, a My Europe 2050 education tool and a Massive Open Online Course."
Q01,15,210133,"End-to-End Approach for Mobility-as-a-Service tools, business models, enabling framework and evidence for European seamless mobility: With the projected growth in transport demand, the current modus operandi in transport supply is deemed unsustainable and generates the need for innovative services that could support seamless mobility and a shift from car-ownership to usership. An emerging trend towards this direction is the integration of on-demand modes in conjunction with public transport, leading to the Mobility-as-a-Service (MaaS) concept. MaaS is a user-centric, intelligent mobility distribution model, in which users' needs are met via a single platform and are offered by a service provider, the mobility operator. Although activities in this field are ongoing, at present there are no established frameworks and quantifiable evidence about MaaS costs and benefits, users’ needs, as well as its influence on travel patterns and car ownership of various user groups. Against this background the main goal of MaaS4EU is to provide quantifiable evidence, frameworks and tools, to remove the barriers and enable a cooperative and interconnected EU single transport market for the MaaS concept, by addressing challenges at 4 levels, (1) business, (2) end-users, (3) technology and (4) policy. This will be achieved by defining sustainable business models that support the cooperation across transport stakeholders, understanding user needs"
Q01,16,206575,"customer experience, and foster new business models. TransformingTransport will address seven pilot domains of major importance for the mobility and logistics sector in Europe: (1) Smart High-ways, (2) Sustainable Vehicle Fleets, (3) Proactive Rail Infrastructures, (4) Ports as Intelligent Logistics Hubs, (5) Efficient Air Transport, (6) Multi-modal Urban Mobility, (7) Dynamic Supply Chains. The TransformingTransport consortium combines knowledge and solutions of major European ICT and Big Data technology providers together with the competence and experience of key European industry players in the mobility and logistics domain."
Q01,17,193386,"Enhanced real time services for an optimized multimodal mobility relying on cooperative networks and open data: Europe would be close to solving problems related to congestion, traffic safety and environmental challenges if people, vehicles, infrastructure and business were connected into one cooperative ecosystem combining integrated traffic and transport management with new elements of ubiquitous data collection and system self-management. The main objective is increasing the safety, sustainability, flexibility and efficiency of road transport systems by taking advantage of cooperative communication and by processing open data related to travel through a cooperative open web based platform and mobile application, developed with the purpose of delivering information and services to drivers, businesses and Vulnerable Road Users in real time. The operative objectives will be to: - Analyse stakeholder’s needs incorporating them in the specification of the transport services delivered by the platform. - Identify transport open data sources of information and harmonizing this data to be used as real-time information. - Define and implement and fully distributed global architecture to enable cooperative sensing in ITS. - Leverage the information gathered from vehicular communications, GNSS and open data by means of artificial intelligence techniques. - Develop hybrid networks, supporting 802.11p and mobile communications, which will allow assuring a stable communication channel between vehicles and VRU (usually bringing smartphone). - Empower drivers to deliver data to the platform by leveraging the information generated by"
Q01,18,194890,"that will be beneficial to all parties, and this proposal seeks to facilitate this. The objective of this project is to better understand the common challenges experienced across transport modes, bring representatives of transport modes together to share experience and skills and to develop a set of common research objectives. The project will draw upon the experience gained from the Joint European Transport platform with the focus on infrastructure operations, and will also focus on research objectives presented in the Forever Open Road programme and the work of the FORx4 - Forever Open Road, Railway, Runway and River – A Cross-modal transport initiative for research for which FEHRL produced a ‘Point of View’ document."
Q01,19,194894,"that are required to facilitate these Agendas. These objectives will be implemented through the involvement, for the first time, of representatives of all relevant transport modes and European Technology Platforms within one single collaborative initiative. The ETPs will develop a framework for long-term cooperation between actors from all transport modes that will support the cohesive and coordinated approaches to research and innovation strategies that will facilitate the delivery of a truly integrated transport system. The potential impact of SETRIS for the transport sector is extremely significant and the successful outcome of SETRIS is essential for Europe’s transport future. SETRIS will impact by defining comprehensive, credible and realistic implementation plans for joint SRIAs in a coordinated framework of running ETPs. This is a leap forward is cooperation between the ETPs and has been fully supported by the ETPs."
Q01,20,211640,". GLOMO’s focus is on global mobility into EU countries and within the EU and its impact on careers. The policy making white papers and research suggest that the future Europe will witness even higher and more natural mobility. To assure that Europe is ready for it, our objectives are (a) to systematically generate knowledge about the mobility phenomenon and its implications (success factors, effects and added value); (b) provide trainings to (further) develop early-stage and senior researchers understanding the complex multidisciplinary phenomenon of mobility, and (c) suggest relevant implications for individuals, organisations, the European societies and economies. The joint research and training programme will be conducted within an interdisciplinary and intersectoral network of experts in the field."
Q01,21,215583,"better link its political and security interests with its trade leverage. The EUSKOR project’s highly topical empirical findings are complemented by theory-building through looking at who/what drives EU foreign policy and why and whether diffusion of European ideas and policies could ‘travel’ beyond Europe, hence making the link between EU internal governance and EU foreign policy. Drawing on extensive series of semi-structured interviews to be conducted in Berlin and during short visits in NE Asian capitals, the EUSKOR project is cross-sectoral and multidisciplinary, informing at least three fields (international relations, comparative politics and political economy). The KOREU project is based at the Center for European Integration at Free University Berlin and supervised by Prof. Tanja Börzel, leading to a two-way knowledge and skills transfer as well as policy impact during dissemination through a think-tank secondment at the Stiftung Wissenschaft und Politik."
Q01,22,208399,"European Travel Writing in Context. The Socio-Political Dimension of Travelogues 1760-1850: ""Euopean Travel Writing in Context"" investigates the thesis that travel writing is a fundamental medium in the process of the major political and social changes in Europe from the late 18th to the middle of the 19th century. In particular, the processes of the formation of collective national identities and cultures as well as the process of the formation of the middle class with its emphasis on the individual’s identity are implicitly depicted, performed and negotiated in travel writing of the period. The growing popularity of travel writing at the time underlines its increased social and political importance. Furthermore, the socio-political functions of the genre are displayed in its changed form and content: from the late 18th century, travel writing increasingly changes from scientific reports to more entertaining literary forms. What is more, the particular features of the genre with regard to form and content (such as the oscillation between fact and fiction, inter- and meta-textuality and multilingualism) correspond to its multiple functions. It is my main objective to analyse the performative character of travel writing with regard to its social and political importance during the transition period from the late 18th to the middle of the 19th century. In order to do so and for the first time in travel writing studies, I propose a comparative analysis of travelogues by European writers between 1760 and 1850."
Q01,23,199885,"European Climate Observations, Modelling and Services - 2: The Climateurope Action will coordinate and support Europe’s knowledge base to enable better management of climate-related risks and opportunities thereby creating greater social and economic value. Climateurope has four main objectives: 1. Develop a European framework for Earth-system modelling and climate service activities. The framework will be built around a managed network of European, national and international activities and organisations. Such a network does not yet exist but is becoming increasingly necessary. 2. Coordinate and integrate European climate modelling, climate observations and climate service infrastructure initiatives (including JPI-Climate, Climate-KIC, Copernicus C3S) and facilitate dialogue among the relevant stakeholders, including climate science communities, funding bodies, providers and users. This will improve synergies, reduce fragmentation and promote alignment between activities. The user communities will include public sector, businesses, industry and society. 3. Establish multi-disciplinary expert groups to assess the state-of-the-art in Earth-system modelling and climate services in Europe; and identify existing gaps, new challenges and emerging needs. 4. Enhance communication and dissemination activities with stakeholders, in particular through events to bring the network together and showcase progress; stakeholder-oriented reports on the state-of-the-art in Earth-system modelling and climate services in Europe; operating a website; and undertaking additional stakeholder interaction"
Q01,24,212877,"Current European and Cross-National Comparative Research and Research Actions on Migration: Migration and the characteristics which constitute its parameters, dynamics and complexities comprises one of the most paramount matters in contemporary Europe. Under these designated circumstances, the necessity of relevant, concise, and useful knowledge are prerequisites for the design of efficient and constructive policies. Although particular databases such as EUROSTAT and OECD offer valuable insights into these migratory dynamics, a comprehensive, efficient and integrative database which synthesizes, categorizes and maps out the vast analytical accounts on migration throughout Europe is non-existent. This project, bringing together 16 leading research institutions, networks and policy institutes throughout Europe, aims to proficiently fulfill this gap crucial for policy-purposes through the construction of a central migration hub. This hub will be of instrumental value due to its capability to operate as a key grammar in the design of current and future policy. Essentially, it accumulates and consolidates past, present and future migration research through providing an extensive yet succinct overview of migration drivers, infrastructures, flows, and policies, allowing for an improved systematic understanding of the factors that constitute the interaction between these analytical categories. The accessibility, accumulation and integration of research in one hub will be an integral element for improved policy making as it concentrates and visualizes relevant data – thereby facilitating"
Q01,25,193715,"of intermodal transport concepts, identifying possible solutions for current and predicted shortcomings. The insights gained through the project's approach will highlight research needs towards the four hour door-to-door goal formulated by ACARE. Given the nature and aim of the initiative, the DATASET2050 partners and Advisory Board are comprised of top European transport Entities (universities, policy makers, industry, research Institutes, GIS and inter-/multimodal entities) with major inputs into European strategy agendas. A comprehensive dissemination and communication plan will ensure efficient circulation of the results among key European transport policy makers and stakeholders."
Q01,26,205970,"Multi-Use in European Seas: The Multi-Use in European Seas (MUSES) project will review existing planning and consenting processes against international quality standards for MSP and compliance with EU Directives used to facilitate marine and coastal development in the EU marine area to ensure that they are robust, efficient and facilitate sustainable multi use of marine resources. The project will build knowledge of the appropriate techniques to minimize barriers, impacts and risks, whilst maximising local benefits, reducing gaps in knowledge to deliver efficiencies through integrated planning, consenting processes and other techniques. MUSES Project - 3 main pillars: 1. Regional overviews which take into account EU sea basins (Baltic Sea, North Sea, Mediterranean Sea, Black Sea and Eastern Atlantic) will be based on an analytical framework to facilitate adoption of a common approach across the sea basins. The progress in implementation of the concept of Multi-Uses in European Sea Basins will be assessed and key obstacles and drivers identified. 2. A comprehensive set of case studies of real and/or potential multi-use will be conducted and analysed to provide a complete spectrum of advantages in combining different uses of the sea. The case studies will create local stakeholder platforms to identify multi-use potentiality, opportunities and limitations. 3. Development of an Action Plan to address the challenges and opportunities for the development of Multi-Uses of oceans identified in the regional overviews"
Q01,27,211640,"Global mobility of employees: Promoting labour mobility across Europe is a central objective of the Europe 2020 Strategy and it aims to tackle increasing labour and skill shortages in the EU. Cross-border labour mobility is expected to benefit both individual citizens, employers and the aggregate economy. In addition, intra-EU mobility is a means to foster European integration. Although migration into OECD countries increases, driven largely by people moving within the EU, migration into and within Europe is still short of target levels. Despite a favourable legal framework for mobility, migrants still face a wide range of problems and obstacles that hamper cross-border labour mobility. Employment prospects for immigrants are below those of natives and overqualification, i.e. employment below skill levels, is widespread in most European countries. Consequently, the growth potential of immigrants is far from realised. Little is known about transnational mobility patterns and the length of migration episodes as well as about retention processes of foreign employees. There is considerable scope to make existing labour mobility more efficient and beneficial for all parties involved. GLOMO’s focus is on global mobility into EU countries and within the EU and its impact on careers. The policy making white papers and research suggest that the future Europe will witness even higher and more natural mobility. To assure that Europe is ready for it, our objectives are (a)"
Q01,28,210916,"and will lead towards automated transport in Europe - Assessment including CBA of the cumulative real-life benefits of clustering C-ITS applications and integrating multiple transport modes in the C-ITS ecosystem - Open secure large-scale C-ITS deployment of new and existing applications demonstrated in complex urban environments interoperable across countries involving large groups of end users - Provide an open platform towards C-ITS sources to support deployment of service concepts on commodity devices, validated by developer communities - Validated operational procedures for large-scale deployment of sustainable C-ITS services in Europe - Released testing methodologies to evaluate the proven impact of C-ITS architectures and services"
Q01,29,211697,"European-wide behavioural and mobility dataset will be made available to the scientific community to stimulate further research on the topic. In addition to decision-makers, transportation planners, engineers, and economists, and other actors engaged in mobility and transportation projects, the results of the project are expected to contribute to the development of new mobility services and to the extension of existing applications for informed travellers. MoTiV will as well provide a direct value to the end user by allowing to easily track, understand, and re-evaluate individual mobility and travel decisions, with the aim making best use of one’s own time in line with personal motivations, preferences, and lifestyle."
Q01,30,206754,"extremely challenging due to the fragmented and diverse social, political and regulatory environments. Proving scalability will be neither easy nor cheap. So the project objectives are: 1) taming the increased complexity by adding sourcing markets; 2) validating the business model by demonstrating it on a remote region. The result will be a scalable strategy, backed up with a data-driven smart DRT. GoOpti’s novelty to Europe will have positive impacts on travellers (reliable, affordable, door-to-door, flexible transfers), professional drivers (new predictable and profitable niche market) and the company (international expansion to 154 M€ revenue with a potential EBITDA of 18 M€ in 2019). In addition, the project provides a major step towards the Single European Transport Area, increases mobility, connectivity of people and places, sustainability of transport and the environment."
Q02,1,213164,"Big Data for Mobility Tracking Knowledge Extraction in Urban Areas: Track&amp;Know will research, develop and exploit a new software framework that aims at increasing the efficiency of Big Data applications in the transport, mobility, motor insurance and health sectors. Stemming from industrial cases, Track&amp;Know will develop user friendly toolboxes that will be readily applicable in the addressed markets, and will be also investigated in additional domains through liaison activities with running ICT-15 Lighthouse projects. Track&amp;Know integrates multidisciplinary research teams from Mobility Data management, Complex Event Recognition, Geospatial Modelling, Complex Network Analysis, Transportation Engineering and Visual Analytics to develop new models and applications. Track&amp;Know recognizes that Big Data penetration is not adequately developed in niche markets outside the traditional verticals (e.g. Finance) and so the Track&amp;Know Toolboxes will be demonstrated in three real-world Pilots using datasets from niche market scenarios to validate efficiency improvements. Performance and impact benchmarks are elaborated and will be documented during pilots deployment. The Track&amp;Know consortium is composed by complementary partners, coming from addressed research, technological and commercial domains, that have a proven track record of high quality research capacity. Thus, the carefully structured workplan, embodies a holistic approach towards meeting the Track&amp;"
Q02,2,199852,"use this wealth of data to change the way mobility is organised, monitored and planned in large metropolitan areas. The solution will be able to collect, process, link and fuse high-volume, high-velocity, multi-dimensional, heterogeneous, cross-media, cross-sectorial data and to use it to model mobility with a precision, granularity and dynamicity that is impossible with today’s technologies. Such models will be the basis of pervasive services to citizens and business, as well as decision makers to support safe, sustainable, effective, efficient and resilient mobility. The project has the potential to impact the everyday lives of millions of people, their health and the environment with enormous financial and social impact. SETA’s solution will be evaluated rigorously by citizens, business and decision makers in 3 cities across Europe. The proposal includes a commercialisation plan and describes the economy of managing the SETA ecosystem in a metropolitan area."
Q02,3,201659,"available information including WIFI, Bluetooth, GPS signals as well as altitude, acceleration, and direction information based on embedded software to locate mobile devices. The resulting MPS will not rely on sophisticated filters and will therefore be more reliable and computationally faster. The research emphasis of the project will be on flexible and optimal sensor data inference which is found by developing novel clustering and fitting algorithms. The researcher and the partitioning organizations have synergic expertise and solid research track records in the related fields. Smartphone-based realistic MPS applications (apps) will be developed, with the potential use of European GNSS. The resulting MPS and its apps will be integrated into a Home Care system that the Host group has investigated for the purpose of tracking the movement and well-being of elderly/disabled people."
Q02,4,200334,"TrafficFlow - Analytics for Smarter Cities: TrafficFlow is an innovative, flexible and low-cost platform for road-traffic data collection and analysis. Using camera sensors, advanced computer vision software and web and mobile devices, TrafficFlow is THE cost-effective, high performing answer to our smart cities’ need for low cost, minimally invasive data management systems to improve urban transport management. TrafficFlow is a product for local authorities, professionals and companies operating in the smart cities field, all of whom require low cost, high performing solutions to gather large quantities of traffic data. This data is used to manage traffic, thus mitigating some of the negative economic and socio-environmental impacts of urban road mobility. The product will be launched on a primary, high-volume market that shows significant growth potential. The demand for Intelligent Transport Systems is growing all the time. In 2013, Europe accounted for 35.3% of global ITS revenue. This is expected to grow by 28.6% from 2015 to 2020. TrafficFlow is a unique product, whose characteristics in terms of quality, performance, services and costs far outweigh competitors using other monitoring techniques and those using video image processing. Operating in collaboration with key stakeholders from research and industry, Magenta has invested significant resources in development phases. The project presented as a phase 1 SME Instrument is focused on commercial, marketing and economic activities required for market entry, including the development of an IP strategy that protect"
Q02,5,193324,"Opening the cycling and walking tracking potential: This project will explore the potential of walking and cycling tracking services to promote walking and cycling mobility. We will focus on established walking and cycling promotion measures and thoroughly assess the potential of ICT based tracking services to overcome barriers to implementation and finding new factors driving the effectiveness of those measures. Through specific research, the related ICT challenges like scheme dynamics, privacy, trust, low-cost, interoperability and flexibility will be tackled for each type of measure. The measures to target will be established measures to promote walking and cycling travel to workplace, shopping, school and leisure promotion measures. We will investigate both the ability that tracking tools may have to address traditional challenges of these measures and their potential to bring new features in the fields of awareness raising, financial/tax incentives, infrastructure planning and service concepts. A common, flexible and open access tool will be developed to provide an ICT input and output platform that addresses the related ICT challenges. Over this platform it will be easy for anyone to build products based on tracking services tailored to the requirements of the specific measures. This project will develop and test a representative set of such products in real measures underway. These test cases will at the same time validate and provide additional inputs for the project’s research issues and trigger the widespread of tracking services to support walking and cycling measures in Europe. Users, policy"
Q02,6,193380,"Multi-source Big Data Fusion Driven Proactivity for Intelligent Mobility: Transportation sector undergoes a considerable transformation as it enters a new landscape where connectivity is seamless and mobility options and related business models are constantly increasing. Modern transportation systems and services have to mitigate problems emerging from complex mobility environments and intensive use of transport networks including excessive CO2 emissions, high congestion levels and reduced quality of life. Due to the saturation of most urban networks, innovative solutions to the above problems need to be underpinned by collecting, processing and broadcasting an abundance of data from various sensors, systems and service providers. Furthermore, such novel transport systems have to foresee situations in near real time and provide the means for proactive decisions, which in turn will deter problems before they even emerge. Our vision is to provide the required interoperability, adaptability and dynamicity in modern transport systems for a proactive and problem-free transportation system. OPTIMUM will establish a largely scalable, distributed architecture for the management and processing of multisource big-data, enabling continuous monitoring of transportation systems needs and proposing proactive decisions and actions in an (semi-) automatic way. OPTIMUM follows a cognitive approach based on the Observe, Orient, Decide, Act loop of the big data supply chain for continuous situational awareness. OPTIMUM's goals will be achieved by incorpora"
